Experiment,Description,Promoted Emotions,Demoted Emotions,Resume From
demo,"Phase 1: Promoting disgust and surprise, demoting happy","disgust (3.0x), surprise (2.5x)",happy (0.3x),
demo,"Phase 2: Demoting disgust, promoting fear, continuing to demote happy",fear (3.0x),"disgust (0.3x), happy (0.5x)",./experiments/demo_disgust_surprise_20251008_110604/checkpoint_epoch_3.pt
